NC_045513.1 MK645903
NC_050800.1 MT845154
NC_050801.1 MT845156
NC_050802.1 MT845157
NC_050803.1 MT845159
NC_050804.1 MT845160
NC_050805.1 MT845162
NC_050806.1 MT845163
NC_050807.1 MT845167
NC_050808.1 MT845168
NC_050809.1 MT845171
NC_050810.1 MT845172
NC_050811.1 MT845173
NC_050812.1 MT845174
NC_050813.1 MT845175
NC_050814.1 MT845176
NC_050815.1 MT845178
NC_050816.1 MT845180
NC_050817.1 MT845181
NC_050818.1 MT845182
NC_050819.1 MT845183
NC_050820.1 MT845184
NC_050821.1 MT845186
NC_050822.1 MT845187
NC_050823.1 MT845188
NC_050824.1 MT845189
NC_050825.1 MT845191
NC_050826.1 MT845192
NC_050827.1 MT845193
NC_050828.1 MT845200
NC_050829.1 MT221251
NC_050830.1 MT576627
NC_050831.1 MT872488
NC_050832.1 MG397138
NC_050833.1 MT001880
NC_050834.1 MT001881
NC_050847.1 MT135125
NC_050848.1 KX641758
NC_050849.1 MH706718
NC_050853.1 MK134899
NC_050857.1 MT876425
NC_050858.1 MT627604
NC_050859.1 MT712149
NC_050860.1 MT409174
NC_050861.1 MT409175
NC_050865.1 MT675524
NC_050866.1 MN708349
NC_050867.1 MN708350
NC_050868.1 MN708351
NC_050869.1 MN708352
NC_050870.1 MN153814
NC_050871.1 MN153815
NC_050872.1 MK843818
NC_050873.1 MK843819
NC_050877.1 MN488591
NC_050878.1 MN488593
NC_050881.1 MN218690
NC_050895.1 MN520016
NC_050896.1 MN520018
NC_050897.1 MN520019
NC_050898.1 MN520020
NC_050899.1 MN520022
NC_050900.1 MN520023
NC_050901.1 MN520024
NC_050902.1 MN520025
NC_050903.1 MN520026
NC_050917.1 MT627324
NC_050919.1 MT864006
NC_050920.1 MN893301
NC_050922.1 MT330399
NC_050923.1 MT471262
NC_050924.1 MT859132
NC_050925.1 MT859133
NC_050926.1 MT075554
NC_050927.1 MT075555
NC_050928.1 MT075556
NC_050929.1 MN834131
NC_050931.1 MT017928
NC_050934.1 MT114190
NC_050935.1 MT114191
NC_050936.1 MT114192
NC_050937.1 MT038209
NC_050939.1 MT106673
NC_050940.1 MT822270
NC_050941.1 MN986996
NC_050943.1 MT012413
NC_050944.1 MT012414
NC_050945.1 MT012415
NC_050946.1 MT012418
NC_050948.1 MT677873
NC_050949.1 MT916287
NC_050951.1 MT922037
NC_050952.1 MN044637
NC_050953.1 MN044638
NC_050954.1 MN044640
NC_050955.1 MN044641
NC_050956.1 MN044642
NC_050957.1 MN044644
NC_050958.1 MN044645
NC_050959.1 MT302569
NC_050962.1 MT180075
NC_050963.1 MT180076
NC_050965.1 MT178455
NC_050966.1 MT178809
NC_050967.1 MT178810
NC_050970.1 MT213977
NC_050971.1 MT916772
NC_050972.1 MT916773
NC_050974.1 MT385397
NC_050975.1 MT210235
NC_050977.1 MT554929
NC_050980.1 MT225530
NC_050981.1 MT300496
NC_050984.1 MT387201
NC_050985.1 MT555077
NC_050986.1 MT555078
NC_050990.1 MT576628
NC_050991.1 MT937186
NC_050998.1 MN061945
NC_050999.1 MT676422
NC_051000.1 MT606177
NC_051002.1 MT644123
NC_051003.1 MT898431
NC_051455.1 MH923233
NC_051457.1 MH898941
NC_051493.1 MT887608
NC_051498.1 MT947804
NC_051500.1 MH800323
NC_051501.1 MH800324
NC_051502.1 MT424755
NC_051503.1 MT412405
NC_051504.1 MT412406
NC_051507.1 MT937173
NC_051508.1 MT937174
NC_051509.1 MT937177
NC_051510.1 MT937178
NC_051511.1 MT937179
NC_051512.1 MT522025
NC_051520.1 MT457822
NC_051521.1 MT457823
NC_051523.1 MT937254
NC_051524.1 MT642703
NC_051531.1 MT934442
NC_051532.1 MT934444
NC_051533.1 MT610040
NC_051535.1 MT657329
NC_051540.1 MT588298
NC_051541.1 MT676834
NC_051542.1 MT580341
NC_051543.1 MT547539
NC_051544.1 MT663220
NC_051546.1 MT527963
NC_051550.1 MT471268
NC_051553.1 MT702883
NC_051554.1 MT457851
NC_051556.1 MT591528
NC_051557.1 MT591529
NC_051559.1 MT317095
NC_051560.1 MT621210
NC_051561.1 MT543220
NC_051864.1 MT006132
NC_051870.1 MN996266
NC_051871.1 MT161478
NC_051872.1 MT161480
NC_051873.1 MT161482
NC_051874.1 MT161483
NC_051876.1 MT627346
NC_051877.1 MT773597
NC_051878.1 MT795653
NC_051879.1 MT740251
NC_051880.1 MT740252
NC_051881.1 MN326319
NC_051883.1 MN431657
NC_051885.1 MT506239
NC_051887.1 MN520000
NC_051888.1 MN540960
NC_051890.1 MN275034
NC_051893.1 MT316511
NC_051894.1 MN259191
NC_051895.1 MT720931
NC_051896.1 MT720932
NC_051897.1 MT720933
NC_051898.1 MT720934
NC_051899.1 MT720935
NC_051900.1 MT720936
NC_051901.1 MT720937
NC_051902.1 MT720938
NC_051903.1 MT720939
NC_051904.1 MT720940
NC_051905.1 MT720941
NC_051906.1 MT720942
NC_051907.1 MT720943
NC_051908.1 MT720944
NC_051909.1 MT720945
NC_051910.1 MT720946
NC_051911.1 MT720948
NC_051912.1 MT720949
NC_051913.1 MT720950
NC_051914.1 MT720951
NC_051915.1 MT720952
NC_051916.1 MT720953
NC_051917.1 MT720955
NC_051918.1 MT473979
NC_051919.1 MN893255
NC_051920.1 MK371005
NC_051921.1 MK371008
NC_051922.1 MK371011
NC_051923.1 MK371014
NC_051924.1 MT157217
NC_051925.1 MT157218
NC_051926.1 MT157219
NC_051946.1 MN395661
NC_051947.1 MT677871
NC_051949.1 MN484598
NC_051950.1 MT228727
NC_051951.1 MT228731
NC_051952.1 MT161479
NC_051954.1 MN604403
NC_051955.1 MN315269
NC_051956.1 MN315270
NC_051957.1 MN315275
NC_051958.1 MN315276
NC_051959.1 MN315279
NC_051960.1 MN315280
NC_051961.1 MN315281
NC_051964.1 MK704435
NC_051966.1 MK681767
NC_051969.1 MN495627
NC_051970.1 MN843749
NC_051971.1 MN998500
NC_051972.1 MT181607
NC_051973.1 MN822134
NC_051974.1 MN736637
NC_051976.1 MN412588
NC_051977.1 MN412589
NC_051978.1 MN412590
NC_051979.1 MN412591
NC_051980.1 MN412592
NC_051982.1 MT040621
NC_051986.1 MT362050
NC_051987.1 MT362051
NC_051988.1 MT371065
NC_051991.1 MT732944
NC_051992.1 MT732945
NC_051997.1 MT501463
NC_051999.1 MN504788
NC_052000.1 MN504789
NC_052001.1 MN504790
NC_052002.1 MN504791
NC_052003.1 MN504792
NC_052004.1 MN504793
NC_052005.1 MN504794
NC_052006.1 MN504796
NC_052007.1 MN504797
NC_052008.1 MT742546
NC_052009.1 MT742547
NC_052014.1 MT316022
